player,team,win_total,team_ou,vegas_flag,context_note
Rashan Gary,GB,10.5,OVER,BOOST,GB 10.5 wins — EDGE in solid defense
Bralen Trice,SEA,10.5,OVER,BOOST,SEA 10.5 wins — young EDGE stash in rising defense
Jordyn Brooks,SEA,10.5,OVER,BOOST,SEA 10.5 wins — LB in solid defense
Kenneth Walker III,SEA,10.5,OVER,BOOST,SEA 10.5 wins — RB in solid running offense
Ladd McConkey,LAC,10.5,OVER,BOOST,LAC 10.5 wins — WR in rising offense — undervalued GEM
Caleb Williams,CHI,9.5,OVER,NEUTRAL,CHI 9.5 wins — middle-tier win total — QB1 upside intact
Rome Odunze,CHI,9.5,OVER,NEUTRAL,CHI 9.5 wins — WR in improving offense
Luther Burden,CHI,9.5,OVER,NEUTRAL,CHI 9.5 wins — young WR developmental value
D'Andre Swift,CHI,9.5,OVER,NEUTRAL,CHI 9.5 wins — RB2 in sharing backfield
Trevor Lawrence,JAC,8.5,OVER,NEUTRAL,JAC 8.5 wins — neutral win total — elite SF QB talent
Brian Thomas Jr,JAC,8.5,OVER,NEUTRAL,JAC 8.5 wins — neutral — elite WR talent at 23
Travis Hunter,JAC,8.5,OVER,NEUTRAL,JAC 8.5 wins — neutral — two-way talent upside
Jayden Daniels,WAS,7.5,UNDER,NEUTRAL,WAS 7.5 wins concern — elite QB talent overrides team context
Terry McLaurin,WAS,7.5,UNDER,NEUTRAL,WAS 7.5 wins — age 30 WR — fade from this combo
Brian Robinson Jr,WAS,7.5,UNDER,NEUTRAL,WAS 7.5 wins — RB limited upside on mediocre team
Malik Nabers,NYG,7.5,UNDER,NEUTRAL,NYG 7.5 wins — elite WR talent but team context concern
Jaxson Dart,NYG,7.5,UNDER,NEUTRAL,NYG 7.5 wins — young QB SF value despite team context
Justin Jefferson,MIN,8.5,UNDER,NEUTRAL,MIN 8.5 wins — elite WR talent overrides team context
Sam Darnold,MIN,8.5,UNDER,NEUTRAL,MIN 8.5 wins — bridge QB — limited dynasty upside
Jordan Addison,MIN,8.5,UNDER,NEUTRAL,MIN 8.5 wins — solid WR2 situation
Nik Bonitto,DEN,9.5,OVER,NEUTRAL,DEN 9.5 wins — EDGE in solid defensive situation
Bo Nix,DEN,9.5,OVER,NEUTRAL,DEN 9.5 wins — young QB showing improvement
Javonte Williams,DEN,9.5,OVER,NEUTRAL,DEN 9.5 wins — RB with health upside
Drake Maye,NE,9.5,OVER,NEUTRAL,NE 9.5 wins — elite young QB — team context improving
TreVeyon Henderson,NE,9.5,OVER,NEUTRAL,NE 9.5 wins — young RB in improving offense
Shedeur Sanders,CLE,5.5,UNDER,FADE,CLE 5.5 wins — SF QB value saves late-round pick but team is bad
Jerry Jeudy,CLE,5.5,UNDER,FADE,CLE 5.5 wins FADE — WR talent but poor team context
Quinshon Judkins,CLE,5.5,UNDER,FADE,CLE 5.5 wins FADE — raw talent but limited team support
Myles Garrett,CLE,5.5,UNDER,FADE,CLE 5.5 wins FADE — elite EDGE but age 30 plus bad team
Bijan Robinson,ATL,6.5,UNDER,FADE,ATL 6.5 WIN TOTAL — MAJOR BUST FLAG — consensus R1 is a trap
Drake London,ATL,6.5,UNDER,FADE,ATL 6.5 WIN TOTAL FADE — WR in weak offense — bust
Kyle Pitts,ATL,6.5,UNDER,FADE,ATL 6.5 WIN TOTAL FADE — TE talent destroyed by team context
Kirk Cousins,ATL,6.5,UNDER,FADE,ATL 6.5 wins — age 38 QB in bad situation — double bust
Ashton Jeanty,LVR,6.5,UNDER,FADE,LVR 6.5 wins — volume RB but poor offense — fades value
Maxx Crosby,LVR,6.5,UNDER,FADE,LVR 6.5 wins — EDGE in bad situation — fades IDP value
Jeremiyah Love,ARI,3.5,UNDER,FADE,ARI 3.5 WIN TOTAL — WORST TEAM IN NFL — massive bust flag
Marvin Harrison Jr,ARI,3.5,UNDER,FADE,ARI 3.5 WIN TOTAL FADE — elite talent in career-limiting situation
Trey McBride,ARI,3.5,UNDER,FADE,ARI 3.5 WIN TOTAL — TE premium volume exists but team is catastrophic
Budda Baker,ARI,3.5,UNDER,FADE,ARI 3.5 wins — aging DB in worst team situation — double bust
Isaiah Simmons,ARI,3.5,UNDER,FADE,ARI 3.5 wins — DB in worst situation — avoid
De'Von Achane,MIA,4.5,UNDER,FADE,MIA 4.5 WIN TOTAL FADE — explosive RB trapped on sinking ship
Tyreek Hill,MIA,4.5,UNDER,FADE,MIA 4.5 wins FADE — age 32 plus bad team — double bust flag
Tua Tagovailoa,MIA,4.5,UNDER,FADE,MIA 4.5 wins FADE — injury concern plus poor team context
Garrett Wilson,NYJ,5.5,UNDER,FADE,NYJ 5.5 WIN TOTAL FADE — elite WR talent wasted on bad team
Breece Hall,NYJ,5.5,UNDER,FADE,NYJ 5.5 WIN TOTAL FADE — elite RB trapped in poor offensive situation
